periode,label,headline,content,predik
5/24/2024,Berita Aceh,"miris, seorang ayah di aceh timur tega cabuli anak kandung",kasat reskrim jelas kasus ini kuak pada hari minggu malam ketika korban sebut saja bunga tahun cerita kepada keluarga bahwa laku yakni sa yang tidak lain ayah kandung korban cabul diri lapor maulid alfata aceh timur serambinewscom idi orang ayah di aceh timur inisial sa ringkus polisi karena tega cabul anak kandung sendiri iya benar tadi malam anggota kami aman orang lakilaki yang duga laku tindak jarimah perkosa dan atau leceh seksual hadap anak yang laku oleh orang tua wali hadap anak kandung kata kasat reskrim polres aceh timur polda aceh iptu muhammad rizal jumat sebut laku inisial sa tahun warga camat peureulak timur aman dasar lapor polisi nomor lpgarbvspktpolres aceh timurpolda aceh tanggal mei kasat reskrim jelas kasus ini kuak pada hari minggu malam ketika korban sebut saja bunga tahun cerita kepada keluarga bahwa laku yakni sa yang tidak lain ayah kandung korban cabul diri korban awal anak yang diam dan turut tetapi turut terang dari ibu belakang korban jadi marah dan sering lawan perintah ungkap rizal lebih lanjut mantan kasat reskrim polres pidie polda aceh ini sebut atas ubah perilaku putri sebut ibu korban sama keluarga besar tanya ada masalah apa situ korban aku bahwa sa telah cabul diri banyak dua kali tahun dan dengar aku korban dan rasa berat atas buat suami hadap putri ibu korban datang spkt polres aceh timur untuk buat lapor polisi pada tanggal mei tahu buat sudah tahu oleh keluarga istri dan lapor ke polisi sa kabur tinggal rumah dan rantau ke jumlah wilayah di luar aceh baca juga jual mie ayam cabul anak gadis jual ayam penyet di semarang laku ajak korban ke losmen lanjut pada hari kamis sekira pukul wib anggota opsnal satreskrim polres aceh timur oleh informasi bahwa laku telah aman oleh warga kampung di mana keluarga sa tinggal lanjut sa bawa ke satreskrim polres aceh timur untuk mempertanggungjawabkan buat atas buat sa sangka pasal jo pasal qanun aceh nomor tahun tentang hukum jinayat terang kasat reskrim baca juga bejat kakek tahun di sumut cabul cucu banyak kali di kebun sawit korban hamil bulan,XX
6/24/2024,Berita Aceh,"kmp aceh hebat 2 dari sabang ke banda aceh penuh, puluhan sepeda motor dan mobil tak terangkut",kmp aceh hebat trip akhir tinggal labuh balohan sabang tuju labuh ulee lheu banda aceh sekitar pukul wib senin lapor aulia prasetya sabang serambinewscom sabang puluh sepeda motor maupun mobil di labuh balohan sabang senin malam tak angkut karena muat kmp aceh hebat penuh hal itu di karena tingkat jumlah kunjung ke kota sabang lama libur panjang sekolah ini amat serambinewscom kapal lambat kmp aceh hebat trip akhir tinggal labuh balohan sabang tuju labuh ulee lheu banda aceh sekitar pukul wib senin sedang kmp brr dalam masa awat salah satu tumpang rudi warga medan aku paksa tidak berangkat pada malam hari ini saya sama keluarga sedang libur di sabang sudah dua hari saya di sini pantai bagus masyarakat juga ramahramah kata rudi baca juga cegah rabies dinas tani sabang gandeng perbakin untuk tembak anjing liar ini jadwal imbau rencana sore tadi saya berangkat meninggallkan sabang namun karena ramai yang berangkat jadi kami tidak lewat mobil karena posisi antre di belakang sambung sementara itu ia aku tidak masalah harus inap malam di labuh kota sabang karena turut sabang masih golong aman namun mereka tetap harus berhatihati informasi malam ini tidak ada jadwal berangkat lagi yang ada besok pagi jadi kami harus inap malam lagi di kota sabang tutup rudi,XX
6/17/2024,Berita Aceh,ingin liburan ke sabang? berikut jadwal kapal roro edisi selasa 18 juni 2024,lapor aulia prasetya sabang serambinewscom sabang seberang dari labuh ulee lheue banda aceh ke labuh balohan sabang maupun balik layan dengan kapal ferry atau kapal roro dan kapal cepat tentu jika dengan kapal cepat hanya bisa angkut tumpang saja sedang jika dengan kapal ferry juga bisa angkut kendara kapal ferry yang layan rute banda acehsabang pulang pergi yakni kapal motor seberang kmp aceh hebat dan kmp brr adapun waktu yang tempuh dengan kapal roro sebut sekitar dua jam lama jalan ikut jadwal berangkat kmp aceh hebat dan kmp brr tuju sabang dan balik untuk selasa juni berangkat dari labuh balohan sabangulee lheue banda acehkmp brr berangkat pukul wib kmp aceh hebat berangkat pukul wibkmp brr berangkat pukul wibkmp aceh hebat berangkat pukul wib berangkat dari labuh ulee lheue banda acehbalohan sabangkmp aceh hebat berangkat pukul wibkmp brr berangkat pukul wibkmp aceh hebat berangkat pukul wibkmp brr berangkat pukul wib adapun harga tiket tumpang dewasa besar rp per orang dan rp untuk bayi sedang tarif tiket kendara roda dua rp unit plus sudah mengcover dengan tiket kendara sementara untuk mobil tarif besar rp unit plus sudah mengcover tumpang lain di dalam,Z5
6/10/2024,Berita Aceh,"hari ini terakhir keberangkatan jch ke tanah suci, jumat menuju arafah, ini kata menteri agama",sampai saat ini catat jemaah haji dan tugas kloter kelompok terbang yang sudah tiba di arab saudi mereka gabung dal kloter lapor khalidin umar barat arab saudi serambinewscom makkah fase berangkat jamaah calon haji atau jch sudah hampir final menteri agama yaqut cholil qoumas nilai tahap ini jalan lancar wartawan serambi indonesia tribun network khalidin umar barat selaku tugas media center haji mch dari arab saudi lapor hari ini senin rupa hari akhir berangkat jamaah dari tanah air ke arab saudi berangkat jemaah haji indonesia langsung sejak mei sampai saat ini catat jemaah haji dan tugas kloter kelompok terbang yang sudah tiba di arab saudi mereka gabung dal kloter banyak darat di bandara amir muhammad bin abdul aziz amaa madinah baca juga video rudal antitank hizbullah terbang sasar bangun tentara israel di galilea sementara kloter darat di king abdul aziz international airport kaaia jeddah masih ada kloter yang akan darat di jeddah hingga juni alhamdulillah berangkat jemaah sudah jelang akhir jauh ini semua lancar kecuali beberapa terbang yang memang kita tahu ada masalah khusus dari garuda indonesia sebut menag tiba di bandara internasional jeddah minggu sekarang kita fokus siap layan baik yang bisa perintah ikan kepada para jemaah haji sambung kata menag pihak sama seluruh tugas selenggara ibadah haji ppih terus upaya beri layan baik kepada jemaah haji koordinasi dan komunikasi dengan perintah arab saudi terus laku menag syukur atas komunikasi dan respons baik dari perintah arab saudi baca juga video lagi tiga jabat israel undur diri tak arah dengan netanyahu,XX
6/5/2024,Berita Aceh,bpma dukung sikap pemerintah terkait tambang migas rakyat,alhamdulillah api sudah padam dan tidak ada korban jiwa akibat jadi bakar sebut radhi darmansyah kepala divisi formalitas hubung eksternal dan sekuriti kkks serambinewscom banda aceh badan kelola migas aceh bpma dukung perintah cari solusi yang efektif kait tambang migas rakyat khusus untuk aspek lingkung dan selamat hal ini sampai oleh kepala divisi formalitas hubung eksternal dan sekuriti kkks radhi darmansyah lalu terang tulis selasa untuk saat ini lapor dapat sumur masyarakat di sekitar wilayah yang bakar di gampong alue canang camat birem bayeum aceh timur jumlah sumur sebut ada di wilayah open area yang belum milik kontrak kerja sama kks jelas radhi untuk tahu tugas dan wewenang bpma hanya batas pada wilayahwilayah yang sudah milik kks dengan bpma bpma awas wilayah kerja di darat dan laut aceh hingga batas mil kait jadi sumur minyak tradisional yang kembali ledak di desa alue canang camat birem bayeun aceh timur jumat lalu radhi sebut pihak terus koordinasi dengan pihak polisi yang pantau dan awas lokasi sebut bpma juga sudah minta medco ep malaka selaku kkks dekat untuk laku observasi ke lokasi dan kumpul informasi yang butuh sebut dari informasi sebut tahu bahwa letak sumursumur masyarakat yang bakar meter di luar batas wilayah kerja block a medco ep malaka wilayah sebut di luar wilayah wenang bpma sehingga mereka tidak milik wenang hadap wilayah sebut kata bpma terus usaha untuk beri masuk dan cari solusi kepada perintah agar jadi ini tidak ulang dan dapat beri manfaat baik untuk negara dan masyarakat saat ini sumursumur sebut masih milik tekan namun tidak dapat tahu dengan pasti berapa besar tekan karena tidak dapat pressure gauge pada sumur sebut luas lokasi dari tambang masyarakat sebut kurang lebih sekitar hektare alhamdulillah api sudah padam dan tidak ada korban jiwa akibat jadi bakar sebut papar radhi kait peristiwa ini ia imbau agar giat tambang minyak dan gas harus perhati aspek selamat dan aspek lingkung hidup dua aspek ini yang harus cari jalan keluar sehingga tidak jadi lagi celaka dan bakar dia tambah bpma dalam beberapa tahun ini aktif untuk terus cari solusi atas tambang migas rakyat sebut sebut harus ada solusi cara legalperundangan yang dapat payung aktivitas masyarakat sebut namun dengan awas yang ketat hadap aspek selamat dan aspek lingkung salah satu solusi terobos yang laku oleh bpma adalah di kontrak kerja sama bireuensigli bpma dan kkks dalam kontrak sebut sepakat untuk mengakomodir peran serta masyarakat dalam giat eksploitasi dalam bentuk kerja sama lalu koperasibumd ujar radhi namun perlu payung hukum lanjut agar klusul dalam kontrak kerja sama sebut dapat jalan dengan begitu bpma serta kkks dapat langsung bina dan awas giat masyarakat sehingga aspek selamat dan aspek lindung lingkung dapat terjagamun,Z3
4/18/2024,Berita Aceh,kejari bireuen damaikan kasus penganiayaan yang berujung pengibaran bendera gam di polsek samalanga,pihak kejar bireuen pun kamis hasil damai kasus aniaya ini lalu restorative justice atau selesai perkara cara damai tanpa lanjut ke proses hukum di adil lapor yusmandin idris i bireuen serambinewscom bireuen masih ingat kasus kibar bendera gam atau bulan bintang di mapolsek samalanga kabupaten bireuen jumat yang viral itu kasus ini dilatarbelakangi perkara aniaya yang lapor ke polsek samalanga dan laku rasa kurang puas atas tangan perkara ini di polsek tempat kini perkara itu sudah tiba di jaksa negeri atau kejar bireuen pihak kejar bireuen pun kamis hasil damai kasus aniaya ini lalu restorative justice atau selesai perkara cara damai tanpa lanjut ke proses hukum di adil sangka kasus aniaya ini inisial mk dan korban inisial m kajari bireuen h munawal had sh mh lalu kasi intelijen abdi fikri sh mh dalam rilis cerita perkara aniaya ini mula pada oktober baca juga laku pasang bendera bulan bintang di pagar polsek samalanga minta maaf saat itu korban m sedang ada di kios desa alue barat camat samalanga bireuen tibatiba datang korban dan memberitahukan bahwa sangka mk ingin bakar becak jual milik kakak kandung korban dengar hal sebut korban langsung pergi tuju tempat becak jual sebut dan korban lihat semua ban becak sebut sudah bocor telah lihat itu m langsung pergi tuju rumah mk namun tgk imum gampong henti korban telah itu m lihat mk keluar dari rumah dengan bawa besi ulir yang biasa guna untuk kupas kelapa dan bilah parang di tangan kiri kemudian tanya kepada mk kenapa dibocorin ban becak abang baca juga viral bendera bulan bintang kibar di polsek samalanga kapolres bireuen ke tkp begini fakta,XX
5/5/2024,Berita Aceh,mahasiswa uniki dan umuslim ikut bantu penerimaan pps,lapor yusmandin idris bireuen serambinewscom bireuen banyak empat mahasiswa fakultas komputer dan multimedia fikom universitas islam bangsa indonesia unik bireuen serta tiga mahasiswa fakultas fisip universitas almuslim peusangan bireuen sabtu ikut bantu terima panitia mungut suara pps di kip bireuen tujuh mahasiswa sejak beberapa waktu lalu laku praktek kerja lapang di kip bireuen amat serambinewscom para mahasiswa bagi tugas layan para lamar pps empat mahasiswa fikom yaitu arif alfarizi mahlil khuzairi zahrial muhafauzi dan hera fazira sementara tiga mahasiswa fisip umuslim yaitu m fajar akmalul aklianti dan ninda aswari m abrar anggota kip bireuen kepada serambinewscom kata hadir para mahasiswa laku tugas praktek lapang dengan lokasi di kip bireuen sangat bantu jajar kip apalagi saat ini sedang tahap terima ppk dan pps mereka pandu untuk layan daftar jelas tugas tugas dikoordinir para pegawai kip mereka para mahasiswa yang sedang praktek di kip bireuen juga minta untuk tidak daftar bagai pps karena bagai orang yang bantu terima pps dan juga akan paham cara hadap dengan masyarakat ujar,XX
6/11/2024,Berita Aceh,pemkot jakpus evaluasi pelayanan rsud cempaka putih,jakarta antara perintah kota administrasi jakarta pusat laku pantau dan evaluasi kerja selenggara layan publik pekppp di rumah sakit umum daerah rsud cempaka putih pada selasaasisten perintah aspem sekretariat kota sekkot administrasi jakarta pusat denny ramdany kata giat ini rupa nilai cara mandiri yang laksana jajarannyapelayanan prima ini rupa layan tinggi arti rsud cempaka putih dapat tahan layan yang baik kepada para unjung maupun pasien kata denny saat konfirmasi di jakartapada giat rupa tahun belum kata denny rsud cempaka putih catat nilai layan prima a dari menteri pendayagunaan aparatur negara dan reformasi birokrasi panrb dan jabat pj gubernur dki jakarta heru budi hartonobaca jugaki dki koordinasi dengan rsud kait buka informasitim yang laku nilai asal dari tingkat kota dan suku dinas sehat jakarta pusat adapun seluruh unsur yang tetap menteri panrb bagai rujuk nilai hadap rsud cempaka putih sudah terpenuhiselain itu meski sudah dapat predikat prima deny aku masih ada rekomendasi dari tim yang harus benah sehingga ke depan predikat layan akan makin bagus dan jadi contoh bagi rsud lain di jakarta pusatsaya harap ini bukan hanya soal lomba atau nilai lebih dari itu kita lihat serius dari rsud cempaka putih beri layan yang baik kepada masyarakat karena dasar nilai itu indeks puas dari masyarakat kata denydirektur rumah sehat jakarta rsud cempaka putih selvy devita anggraini tutur inovasi dalam nilai tahun ini fokus dalam layan hadap disabilitasbaca jugakepulauan ribu tingkat sarana rsudselain fasilitas disabilitas dengan ubin alur pejal kaki rsud cempaka putih juga telah milik lift lengkap kaca untuk pasien tuna rungu yang pertama di dki jakartalayanan inovasi bagi disabilitas ini masuk resep obat bagi disabilitas tuna netra mereka guna metode staples tanda untuk beri informasi agar mudah pola konsumsi obat sesuai anjurankami juga milik unggul banding rsud lain di jakarta yaitu hospitality mulai pertama masuk hingga di bagi farmasi semua layan dengan penuh ramah kata selvypewarta siti nurhalizaeditor sri muryonocopyright antara,XX
4/8/2024,Berita Aceh,ini penceramah tarawih pada malam terakhir ramadhan di islamic center lhokseumawe,lapor saiful bahri lhokseumawe serambinewscom lhokseumawe urus masjid agung islamic center lhokseumawe pasti tiap hari terus gelar aji kuliah subuh dan ceramah jelang shalat tarawih lama bulan ramadhan tahun ini sesuai data dari panitia ramadhan masjid agung islamic center lhokseumawe sebut yang akan isi ceramah tarawih pada senin malam atau malam ke ramadhan yang mungkin jadi malam akhir ramadhan tahun ini adalah tgk h nasir yunus ssosi untuk imam shalat tarawih tgk abdul halim lc mm dan bilal tarawih tgk amri razali sedang saat iktikaf pada selasa dini hari nanti tindak bagai imam tasbih adalah tgk abdul halim lc mm muhasabah oleh tgk fajri syahbuddin spd serta pimpin zikir juga oleh tgk mukhtaruddin kr mpd untuk aji bada shalat zuhur pada selasa besok akan isi oleh tgk badruddin ilyas dengan materi shirah nabawiyah,XX
4/7/2024,Berita Aceh,singkil dan singkil utara pusat perkantoran pemerintahan aceh singkil,lapor dede rosadi i aceh singkil serambinewscom singkil pusat kantor perintah di kabupaten aceh singkil panjang dari camat singkil hingga camat singkil utara walau singkil rupa ibu kota kabupaten aceh singkil namun nyata tidak semua kantor perintah ada di singkil lain bagi ada di camat singkil utara bahkan kantor muspida mayoritas ada di singkil utara bagai ibu kota di singkil lokasi kantor bupati ada namun kantor dprk kodim polres jaksa adil dan mahkamah syariyah ada di singkil utara ada kantor di singkil utara boleh jadi jadi alas pintu gerbang masuk kota singkil ada di camat singkil utara memang dulunya singkil utara masuk dalam wilayah camat singkil akan tetapi kantor bangun telah singkil utara jadi camat iring jalan dengan mekar aceh singkil dari aceh selatan tahun sebar kantor maka saran ketika urus ke kantor perintah jangan buruburu ke singkil baik pasti alamat kantor yang tuju janganjangan ada di singkil utara ikut daftar kantor di singkil dan singkil utara singkil kantor bupati kantor dinas sehat kantor menteri agama kantor kantor mpu kantor dinas didik dan budaya kantor dinas lingkung hidup kantor inspektorat kantor dinas daya masyarakat dan kompong kantor bkpsdm kantor badan pusat statistik kantor dinas tanam modal dan izin kantor satu polisi pamong praja dan wilayatul hisbah kantor bappeda kantor kesbangpol kantor bpbd kantor dinas duduk dan penatatan sipil kantor pertanahanbpn kantor dinas tanah kantor dinas kominfo kantor dinas syariat islam kantor maa kantor dinas daya perempuan dan lindung anak kantor dinas uang kantor disperindagkop dan ukm kantor samsat singkil utara kantor polres kantor dprk kantor dinas hubung kantor dinas pangan kantor majelis didik kabupaten kantor dinas tanam pangan holtikultura dan terna kantor dinas kebun kantor jaksa negeri kantor adil negeri kantor mahkamah syariyah kantor dinas ikan kantor dinas pariwisata pemuda dan olahraga kantor baitul mal kantor dinas sosial kantor dinas trans migrasi dan tenaga kerja kantor kodim aceh singkil rumah tahan negara,Z3
