periode,label,headline,content,predik,created_at,updated_at,sentimen,link,predicted_category
7/20/2024,antaranews,Menkes: Rutin cek kesehatan agar umur panjang,jakarta antara menteri kesehatan budi gunadi sadikin mengatakan publik perlu menjaga kesehatan ,,7/21/2024 22:04,7/21/2024 22:04,negatif,https://www.antaranews.com/berita/4207683/menkes-rutin-cek-kesehatan-agar-umur-panjang,8
7/20/2024,antaranews,"Wall Street alami pekan terburuk, investor beralih ke saham industri",new york antara saham perusahaan teknologi dan saham unggulan lainnya di wall street mengalami k,,7/21/2024 22:04,7/21/2024 22:04,netral,https://www.antaranews.com/berita/4207560/wall-street-alami-pekan-terburuk-investor-beralih-ke-saham-industri,17
7/20/2024,antaranews,Menko Airlangga pastikan anggaran Makan Bergizi Gratis tidak dipotong,untuk anggaran program makan bergizi gratis ini tidak dipotongpalembang antara menteri koordinat,,7/21/2024 22:04,7/21/2024 22:04,netral,https://www.antaranews.com/berita/4207302/menko-airlangga-pastikan-anggaran-makan-bergizi-gratis-tidak-dipotong,8
7/20/2024,antaranews,Bapanas dorong ekosistem pangan nasional yang mandiri dan berdaulat,tentunya yang harus kita dorong bersama sama adalah ketahanan pangan yang berdasarkan kemandirian pa,,7/21/2024 22:04,7/21/2024 22:04,netral,https://www.antaranews.com/berita/4207248/bapanas-dorong-ekosistem-pangan-nasional-yang-mandiri-dan-berdaulat,8
7/20/2024,antaranews,Eurostat: 1 dari 4 anak di Uni Eropa berisiko miskin dan marginal,moskow antara hampir 20 juta anak di seluruh uni eropa tahun lalu berisiko mengalami kemiskina,,7/21/2024 22:04,7/21/2024 22:04,netral,https://www.antaranews.com/berita/4207002/eurostat-1-dari-4-anak-di-uni-eropa-berisiko-miskin-dan-marginal,8
7/20/2024,antaranews,"Perekonomian Malaysia diprediksi tumbuh 5,8 persen di kuartal II-2024",kuala lumpur antara departemen statistik malaysia dosm memperkirakan perekonomian malaysia tum,,7/21/2024 22:04,7/21/2024 22:04,netral,https://www.antaranews.com/berita/4206924/perekonomian-malaysia-diprediksi-tumbuh-58-persen-di-kuartal-ii-2024,6
7/20/2024,antaranews,Inflasi China diperkirakan alami pemulihan ringan pada H2 2024,beijing antara kalangan ekonom dan pejabat memprediksi tingkat inflasi china yang tetap stabil p,K,7/21/2024 22:04,7/21/2024 22:04,netral,https://www.antaranews.com/berita/4206807/inflasi-china-diperkirakan-alami-pemulihan-ringan-pada-h2-2024,22
7/20/2024,antaranews,Kualitas udara Jakarta masuk kategori tidak sehat pada Sabtu,kota dengan kualitas udara terburuk di dunia ditempati lahore pakistan pada angka 188 disusul kam,,7/21/2024 22:04,7/21/2024 22:04,netral,https://www.antaranews.com/berita/4206795/kualitas-udara-jakarta-masuk-kategori-tidak-sehat-pada-sabtu,6
7/20/2024,tribunnews,Polisi Serahkan Tersangka Pembunuhan dan Perburuan Gajah ke Kejari Aceh Utara,laporan zaki mubarak i lhokseumawe serambinews com lhokseumawe satuan reserse kriminal satreskri,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/polisi-serahkan-tersangka-pembunuhan-dan-perburuan-gajah-ke-kejari-aceh-utara,22
7/20/2024,tribunnews,KBO Lantas Ipda Irvan Bantu Biaya Pendamping Pengobatan Bocah tak Miliki Anus,laporan jafaruddin i aceh utara serambinews com lhoksukon kepala urusan pembinaan operasi kbo la,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/kbo-lantas-ipda-irvan-bantu-biaya-pendamping-pengobatan-bocah-tak-miliki-anus,4
7/20/2024,tribunnews,Staf Presiden RI Tinjau Masjid Baitussalam Nyak Sandang dan Temui Pj Bupati Aceh Jaya,laporan riski bintang aceh jaya serambinews com calang pj bupati aceh jaya dr a murtala menerim,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/staf-presiden-ri-tinjau-masjid-baitussalam-nyak-sandang-dan-temui-pj-bupati-aceh-jaya,20
7/20/2024,tribunnews,"Apresiasi Kinerja Kejari, Kapolres Lhokseumawe Serahkan Penghargaan ke Kajari",laporan zaki mubarak lhokseumawe serambinews com lhokseumawe kapolres lhokseumawe akbp henki ism,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/apresiasi-kinerja-kejari-kapolres-lhokseumawe-serahkan-penghargaan-ke-kajari,20
7/20/2024,tribunnews,"Bantaran Krueng Sarullah Dipenuhi Sampah Plastik Berbau, Merusak Pemandangan RTH Taman Pala Indah",laporan ilhami syahputra i aceh selatan serambinews com tapaktuan bantaran krueng sarullah yang be,XX,7/21/2024 22:04,7/21/2024 22:04,negatif,https://aceh.tribunnews.com/2024/07/20/bantaran-krueng-sarullah-dipenuhi-sampah-plastik-berbau-merusak-pemandangan-rth-taman-pala-indah,8
7/20/2024,tribunnews,KIP Aceh Jaya Mulai Verifikasi Perbaikan Syarat Dukungan Balon Bupati Jalur Independen,laporan riski bintang aceh jaya serambinews com calang komisi independen pemilihan kip kabupa,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/kip-aceh-jaya-mulai-verifikasi-perbaikan-syarat-dukungan-balon-bupati-jalur-independen,8
7/20/2024,tribunnews,"Bentuk Tim Relawan, Sejumlah Masyarakat Abdya Dorong Bustami Hamzah Maju Sebagai Calon Gubernur Aceh",laporan taufik zass aceh barat daya serambinews com blangpidie masyarkat aceh barat daya abdya,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/bentuk-tim-relawan-sejumlah-masyarakat-abdya-dorong-bustami-hamzah-maju-sebagai-calon-gubernur-aceh,22
7/20/2024,tribunnews,"Tak Kunjung Dapat Kepastian dari Pihak Bank, Nasabah BPRS Gayo Mengadu ke Senator Aceh Haji Uma",laporan alga mahate ara aceh tengah serambinews com takengon sejumlah nasabah bank pembiayaan rak,XX,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/tak-kunjung-dapat-kepastian-dari-pihak-bank-nasabah-bprs-gayo-mengadu-ke-senator-aceh-haji-uma,8
7/20/2024,tribunnews,Ratusan Unsur Tokoh Masyarakat Hadiri Deklarasi Cabup dan Cawabup Aceh Timur,laporan maulidi alfata aceh timur serambinews com idi tokoh masyarakat daerah dua simpang ulim ,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/ratusan-unsur-tokoh-masyarakat-hadiri-deklarasi-cabup-dan-cawabup-aceh-timur,8
7/20/2024,tribunnews,Kapolres AKBP Jatmiko Ajak Masyarakat Bireuen Bersatu Berantas Judi Online dan Narkoba,laporan yusmandin idris i bireuen serambinews com bireuen kapolres bireuen akbp jatmiko sh mh men,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/kapolres-akbp-jatmiko-ajak-masyarakat-bireuen-bersatu-berantas-judi-online-dan-narkoba,4
7/20/2024,tribunnews,"142 Imigran Rohingya di Sabang Dipindahkan ke Lokasi Penampungan Baru, Tiba Tadi Pagi di Lhokseumawe",laporan aulia prasetya sabang serambinews com sabang sebanyak 142 imigran rohingya yang sebelum,XX,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/142-imigran-rohingya-di-sabang-dipindahkan-ke-lokasi-penampungan-baru-tiba-tadi-pagi-di-lhokseumawe,4
7/20/2024,tribunnews,"DPP Muda Seudang Gelar Pendidikan Politik & Lantik DPW Muda Seudang Aceh Selatan, Saidi Hasan Ketua",pendidikan politik tersebut berlangsung alot dengan peserta yang tergolong kritis serta berani untuk,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/dpp-muda-seudang-gelar-pendidikan-politik-lantik-dpw-muda-seudang-aceh-selatan-saidi-hasan-ketua,8
7/20/2024,tribunnews,Jangan Sampai Cuaca Buruk Ganggu Liburanmu! Ini Prakiraan BMKG untuk Kota Sabang Edisi 21 Juli 2024,laporan aulia prasetya sabang serambinews com sabang sabang merupakan salah satu destinasi wisat,Z1,7/21/2024 22:04,7/21/2024 22:04,positif,https://aceh.tribunnews.com/2024/07/20/jangan-sampai-cuaca-buruk-ganggu-liburanmu-ini-prakiraan-bmkg-untuk-kota-sabang-edisi-21-juli-2024,17
7/20/2024,tribunnews,Warga Binaan Rutan Kelas IIB Sabang Dapat Pelatihan Transformasi Moral dan Kebangsaan 'Who Am I',laporan aulia prasetya sabang serambinews com sabang rutan kelas iib sabang menggelar pelatihan ,XX,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/warga-binaan-rutan-kelas-iib-sabang-dapat-pelatihan-transformasi-moral-dan-kebangsaan-who-am-i,4
7/20/2024,tribunnews,"524 Mobil Dinas Pemerintah Aceh Disiagakan untuk PON, Kebutuhan Kendaraan 1.447 Unit",laporan muhammad nasir i banda aceh serambinews com banda aceh sebanyak 524 kendaraan dinas milik,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/524-mobil-dinas-pemerintah-aceh-disiagakan-untuk-pon-kebutuhan-kendaraan-1447-unit,22
7/20/2024,tribunnews,"HBA Ke 64, Kajari Bireuen Bersama Jajarannya Jalan Santai, Anjangsana ke Dayah dan Para Panurja",laporan yusmandin idris i bireuen serambinews com bireuen dalam rangka menyambut hari bhakti adhy,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/hba-ke-64-kajari-bireuen-bersama-jajarannya-jalan-santai-anjangsana-ke-dayah-dan-para-panurja,17
7/20/2024,tribunnews,"Empat Peserta PKA Pidie Jaya Lulus Terbaik dan Masuk Dominasi 10 Besar, Ini Nama-namanya",laporan idris ismail l pidie jaya serambinews com meureudu empat dari enam peserta pelatihan kep,XX,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/empat-peserta-pka-pidie-jaya-lulus-terbaik-dan-masuk-dominasi-10-besar-ini-nama-namanya,17
7/20/2024,tribunnews,"HOT! Banda Aceh Kembali Jadi Kota Terpanas di Indonesia, Suhu 37,9 Derajat Celcius Per 20 Juli 2024",laporan agus ramadhan banda aceh serambinews com banda aceh kota banda aceh kembali terdeteksi ,Z1,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/hot-banda-aceh-kembali-jadi-kota-terpanas-di-indonesia-suhu-379-derajat-celcius-per-20-juli-2024,22
7/20/2024,tribunnews,"3 Bocah Tenggelam di Kuala Krueng Mane Aceh Utara, 2 Meninggal, 1 Berhasil Diselamatkan Nelayan",satu lagi m ilham 12 ditemukan dalam kondisi selamat ketiga bocah ini warga dusun cot leupe des,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/3-bocah-tenggelam-di-kuala-krueng-mane-aceh-utara-2-meninggal-1-berhasil-diselamatkan-nelayan,8
7/20/2024,tribunnews,"Rumah Tenun Mutiara Songket di Aceh Besar Diresmikan, Ini Harapan Ketua Dekranasda Aceh",laporan indra wijaya aceh besar serambinews com jantho dalam rangka penguatan usaha mikro keci,XX,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/rumah-tenun-mutiara-songket-di-aceh-besar-diresmikan-ini-harapan-ketua-dekranasda-aceh,8
7/20/2024,tribunnews,"Kejari Bireuen Gelar Aneka Kegiatan Sambut HBA Ke-64, dari Jalan Santai hingga Anjangsana ke Dayah",laporan yusmandin idris i bireuen serambinews com bireuen dalam rangka menyambut dan memeriahkan ,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/kejari-bireuen-gelar-aneka-kegiatan-sambut-hba-ke-64-dari-jalan-santai-hingga-anjangsana-ke-dayah,8
7/20/2024,tribunnews,Baznas RI akan Laksanakan Program ToT Pengajar Alquran Bahasa Isyarat di Aceh Selatan,laporan ilhami syahputra aceh selatan serambinews com tapaktuan badan amil zakat nasional atau b,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/baznas-ri-akan-laksanakan-program-tot-pengajar-alquran-bahasa-isyarat-di-aceh-selatan,8
7/20/2024,tribunnews,Kapolres Bireuen Wakafkan Alquran dan Serahkan Bantuan Sembako bagi Anak Yatim,laporan yusmandin idris i bireuen serambinews com bireuen kapolres bireuen akbp jatmiko sh mh did,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/kapolres-bireuen-wakafkan-alquran-dan-serahkan-bantuan-sembako-bagi-anak-yatim,4
7/20/2024,tribunnews,"Jadwal Kapal Cepat ke Sabang Edisi 21 Juli 2024, Harga Tiket Bayi hingga 3 Tahun Cuma Rp 15 Ribu",laporan aulia prasetya sabang serambinews com sabang bagi calon penumpang dari banda aceh ke sa,H,7/21/2024 22:04,7/21/2024 22:04,positif,https://aceh.tribunnews.com/2024/07/20/jadwal-kapal-cepat-ke-sabang-edisi-21-juli-2024-harga-tiket-bayi-hingga-3-tahun-cuma-rp-15-ribu,21
7/20/2024,tribunnews,"Cek Jadwal Kapal Cepat Lintas Sabang-Banda Aceh PP Edisi Minggu 21 Juli 2024, Berlayar Mulai Pukul 8",laporan aulia prasetya sabang serambinews com sabang bagi calon penumpang dari banda aceh ke sa,H,7/21/2024 22:04,7/21/2024 22:04,positif,https://aceh.tribunnews.com/2024/07/20/cek-jadwal-kapal-cepat-lintas-sabang-banda-aceh-pp-edisi-minggu-21-juli-2024-berlayar-mulai-pukul-8,21
7/20/2024,tribunnews,"KMP BBR Masih Docking, Aceh Hebat 2 Sendirian Layari Rute Sabang-Banda Aceh, Ini Jadwal 21 Juli 2024",laporan aulia prasetya sabang serambinews com sabang penyeberangan dari pelabuhan ulee lheue b,XX,7/21/2024 22:04,7/21/2024 22:04,positif,https://aceh.tribunnews.com/2024/07/20/kmp-bbr-masih-docking-aceh-hebat-2-sendirian-layari-rute-sabang-banda-aceh-ini-jadwal-21-juli-2024,23
7/20/2024,tribunnews,"Buat SIM di Sabang Harus Punya Kartu BPJS Kesehatan, Mulai Diterapkan Sejak 1 Juli 2024 Lalu",laporan aulia prasetya sabang serambinews com sabang kepesertaan badan penyelenggara jaminan so,Q,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/buat-sim-di-sabang-harus-punya-kartu-bpjs-kesehatan-mulai-diterapkan-sejak-1-juli-2024-lalu,4
7/20/2024,tribunnews,Wakaf Uang Dinilai Jadi Sumber Dana yang Stabil, kolaborasi dengan berbagai pihak sangat diperlukan untuk mendukung pengelolaan wakaf uang supaya be,XX,7/21/2024 22:04,7/21/2024 22:04,positif,https://aceh.tribunnews.com/2024/07/20/wakaf-uang-dinilai-jadi-sumber-dana-yang-stabil,4
7/20/2024,tribunnews,Tiga Pencuri dan 1 Penadah Kabel Listrik di Rumah Sakit Umum Lhok Igeuh Sabang Diringkus,laporan aulia prasetya sabang serambinews com sabang unit opsnal sat reskrim polres sabang berh,XX,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/tiga-pencuri-dan-1-penadah-kabel-listrik-di-rumah-sakit-umum-lhok-igeuh-sabang-diringkus,8
7/20/2024,tribunnews,Asra Sambut Kepulangan Jamaah Haji Aceh Tamiang,laporan rahmad wiguna aceh tamiang serambinews com kualasimpang pj bupati aceh tamiang asra me,,7/21/2024 22:04,7/21/2024 22:04,positif,https://aceh.tribunnews.com/2024/07/20/asra-sambut-kepulangan-jamaah-haji-aceh-tamiang,8
7/20/2024,tribunnews,"Digerebek Polsek Banda Sakti, Dua Wanita dan 1 Pria Pengedar Sabu Ditangkap",laporan zaki mubarak lhokseumawe serambinews com lhokseumawe dua wanita dan satu pria pengedar ,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/digerebek-polsek-bandasakti-dua-wanita-dan-1-pria-pengedar-sabu-ditangkap,8
7/20/2024,tribunnews,"Keuchik Aneuk Laot Imbau Warga Tak Lepas Hewan Ternak Sembarangan, Ini Dampaknya bagi Lingkungan",laporan aulia prasetya sabang serambinews com sabang keuchik kepala desa gampong aneuk laot ,XX,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/keuchik-aneuk-laot-imbau-warga-tak-lepas-hewan-ternak-sembarangan-ini-dampaknya-bagi-lingkungan,17
7/20/2024,tribunnews,"Spanduk Bustami Hamzah Maju Balon Gubernur Aceh Bertebaran di Abdya, Begini Komentar Warga",nazli yang juga mantan tuha peut desa rambong kecamatan setia ini mengaku masih ragu atas baliho ,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/spanduk-bustami-hamzah-maju-balon-gubernur-aceh-bertebaran-di-abdya-begini-komentar-warga,4
7/20/2024,tribunnews,"2 Bulan Jadi Pj Wali Kota Subulussalam, Azhari Berhasil Kurangi Rp 60 M dari Rp 150 M Utang Pemko",laporan khalidin umar barat i subulussalam serambinews com subulussalam penjabat pj wali kota,,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/2-bulan-jadi-pj-wali-kota-subulussalam-azhari-berhasil-kurangi-rp-60-m-dari-rp-150-m-utang-pemko,22
7/20/2024,tribunnews,Pemerintah Aceh Siagakan Mobil Dinas Untuk Penyelenggaraan PON, oleh sebab itu kami berharap dengan diadakannya apel pengecekan ini kita bisa tahu seberapa besar ,O,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/pemerintah-aceh-siagakan-mobil-dinas-untuk-penyelenggaraan-pon,13
7/20/2024,tribunnews,Pisah Sambut Pj Wali Kota Sabang Berlangsung Penuh Haru,laporan aulia prasetya sabang serambinews com sabang pisah sambut yang digelar pemerintah kota ,XX,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/pisah-sambut-pj-wali-kota-sabang-berlangsung-penuh-haru,22
7/20/2024,tribunnews,"Harga Emas Turun di Akhir Pekan, Cek Pasaran Harga Perhiasan dan Logam Mulia di Langsa Per 20 Juli",laporan zubir langsa serambinews com langsa harga emas perhiasan dan logam mulia di kota langs,Z5,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/harga-emas-turun-di-akhir-pekan-cek-pasaran-harga-perhiasan-dan-logam-mulia-di-langsa-per-20-juli,3
7/20/2024,tribunnews,"Kunjungi Riska Ulfa Bocah Penderita Bocor Jantung di Aceh Tengah, Haji Uma Siap Biayai hingga Sembuh",laporan alga mahate ara aceh tengah tribungayo com takengon anggota dpd ri asal aceh h sudirman a,XX,7/21/2024 22:04,7/21/2024 22:04,netral,https://aceh.tribunnews.com/2024/07/20/kunjungi-riska-ulfa-bocah-penderita-bocor-jantung-di-aceh-tengah-haji-uma-siap-biayai-hingga-sembuh,22
